"Status","Year","Ethnicity","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","Commercial","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Education","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Transport","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Transport","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Defence","EO","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Defence","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Justice","EO","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Ministry of Justice","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Black","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Export Finance","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Black","Commercial","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Cabinet Office","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Communications","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
